Active,Active(anon),Active(file),AnonHugePages,AnonPages,Bounce,Buffers,Cached,CommitLimit,Committed_AS,DirectMap1G,DirectMap2M,DirectMap4k,Dirty,HardwareCorrupted,HugePages_Free,HugePages_Rsvd,HugePages_Surp,HugePages_Total,Hugepagesize,Inactive,Inactive(anon),Inactive(file),KernelStack,Mapped,MemFree,MemTotal,Mlocked,NFS_Unstable,PageTables,SReclaimable,SUnreclaim,Shmem,Slab,SwapCached,SwapFree,SwapTotal,Unevictable,VmallocChunk,VmallocTotal,VmallocUsed,Writeback,WritebackTmp,time
30862048,6545660,24316388,0,6892928,0,1136664,64750464,163302556,9123628,262144000,6107136,138176,360,0,0,0,0,0,2048,41899572,333764,41565808,6376,41428,186739460,264108356,30376,0,33920,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111804.004668
31009428,6679252,24330176,0,7026692,0,1136664,64750464,163302556,9257388,262144000,6107136,138176,356,0,0,0,0,0,2048,41885784,333764,41552020,6376,41428,186605840,264108356,30376,0,34184,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111805.016552
31161032,6817360,24343672,0,7164784,0,1136664,64750488,163302556,9395836,262144000,6107136,138176,380,0,0,0,0,0,2048,41872344,333764,41538580,6376,41428,186467456,264108356,30376,0,34440,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111806.028509
31315612,6958556,24357056,0,7305764,0,1136664,64750488,163302556,9536572,262144000,6107136,138176,380,0,0,0,0,0,2048,41858960,333764,41525196,6376,41428,186325972,264108356,30376,0,34708,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111807.040397
31469232,7098220,24371012,0,7445452,0,1136668,64750488,163302556,9676056,262144000,6107136,138176,248,0,0,0,0,0,2048,41845008,333764,41511244,6376,41428,186185976,264108356,30376,0,34980,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111808.052315
31619960,7234824,24385136,0,7582064,0,1136668,64750488,163302556,9812688,262144000,6107136,138176,248,0,0,0,0,0,2048,41830884,333764,41497120,6376,41428,186049720,264108356,30376,0,35248,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111809.064245
31772860,7374004,24398856,0,7721032,0,1136668,64750488,163302556,9951828,262144000,6107136,138176,244,0,0,0,0,0,2048,41817164,333764,41483400,6376,41428,185910344,264108356,30376,0,35512,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111810.076217
31926824,7514244,24412580,0,7861264,0,1136668,64750492,163302556,10092052,262144000,6107136,138176,280,0,0,0,0,0,2048,41803444,333764,41469680,6376,41428,185769728,264108356,30376,0,35780,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111811.088093
32079840,7653192,24426648,0,8000404,0,1136668,64750516,163302556,10231164,262144000,6107136,138176,304,0,0,0,0,0,2048,41789376,333764,41455612,6376,41428,185630724,264108356,30376,0,36052,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111812.099993
32233756,7793388,24440368,0,8140144,0,1136668,64750516,163302556,10371300,262144000,6107136,138176,304,0,0,0,0,0,2048,41775656,333764,41441892,6376,41428,185490356,264108356,30376,0,36320,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111813.111878
32387064,7932576,24454488,0,8279740,0,1136668,64750516,163302556,10510884,262144000,6107136,138176,196,0,0,0,0,0,2048,41761532,333764,41427768,6376,41428,185350880,264108356,30376,0,36592,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111814.123801
32540272,8072064,24468208,0,8419452,0,1136668,64750516,163302556,10650396,262144000,6107136,138176,196,0,0,0,0,0,2048,41747812,333764,41414048,6376,41428,185211256,264108356,30376,0,36860,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111815.135733
32693920,8211660,24482260,0,8558660,0,1136668,64750516,163302556,10789892,262144000,6107136,138176,196,0,0,0,0,0,2048,41733760,333764,41399996,6376,41428,185071384,264108356,30376,0,37400,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111816.147648
32847072,8351092,24495980,0,8698292,0,1136668,64750516,163302556,10929188,262144000,6107136,138176,204,0,0,0,0,0,2048,41720040,333764,41386276,6376,41428,184932012,264108356,30376,0,37668,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111817.159572
33000172,8490524,24509648,0,8837912,0,1136668,64750552,163302556,11068480,262144000,6107136,138176,240,0,0,0,0,0,2048,41706428,333764,41372664,6376,41428,184791768,264108356,30376,0,37936,2732984,136444,168,2869428,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111818.17153
33153672,8629900,24523772,0,8976916,0,1136668,64750552,163302556,11208108,262144000,6107136,138176,240,0,0,0,0,0,2048,41692304,333764,41358540,6376,41428,184652268,264108356,30376,0,38208,2732984,136444,168,2869428,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111819.183441
33560380,9029060,24531320,0,9376396,0,1136668,64750552,163302556,11873000,262144000,6107136,138176,248,0,0,0,0,0,2048,41684756,333764,41350992,6376,41428,184252368,264108356,30376,0,38820,2732984,136444,168,2869428,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111820.195339
33753836,9211636,24542200,0,9559036,0,1136668,64750552,163302556,11789908,262144000,6107136,138176,292,0,0,0,0,0,2048,41673876,333764,41340112,6376,41428,184069468,264108356,30376,0,39336,2732984,136444,168,2869428,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111821.207171
33907244,9350976,24556268,0,9698392,0,1136668,64750552,163302556,11929796,262144000,6107136,138176,296,0,0,0,0,0,2048,41659808,333764,41326044,6384,41416,183929696,264108356,30376,0,39572,2732984,136460,168,2869444,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111822.219283
34061408,9491360,24570048,0,9838524,0,1136668,64750556,163302556,12069780,262144000,6107136,138176,336,0,0,0,0,0,2048,41646032,333764,41312268,6384,41428,183789056,264108356,30376,0,39724,2733008,136460,168,2869468,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111823.231185
34215596,9631420,24584176,0,9978388,0,1136668,64750556,163302556,12209264,262144000,6107136,138176,328,0,0,0,0,0,2048,41631920,333764,41298156,6384,41428,183648688,264108356,30376,0,39992,2733008,136460,168,2869468,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111824.243161
34369308,9771352,24597956,0,10118484,0,1136668,64750580,163302556,12349352,262144000,6107136,138176,352,0,0,0,0,0,2048,41618164,333764,41284400,6384,41428,183508572,264108356,30376,0,40264,2733008,136460,168,2869468,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111825.255113
34523088,9911008,24612080,0,10258312,0,1136668,64750580,163302556,12488940,262144000,6107136,138176,268,0,0,0,0,0,2048,41604040,333764,41270276,6384,41428,183368884,264108356,30376,0,40532,2733008,136460,168,2869468,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111826.267078
34676836,10051036,24625800,0,10397916,0,1136668,64750580,163302556,12629016,262144000,6107136,138176,268,0,0,0,0,0,2048,41590320,333764,41256556,6384,41428,183228128,264108356,30376,0,40956,2733008,136476,168,2869484,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111827.278969
34830324,10190804,24639520,0,10537892,0,1136668,64750580,163302556,12768812,262144000,6107136,138176,276,0,0,0,0,0,2048,41576600,333764,41242836,6376,41428,183088400,264108356,30376,0,41224,2733008,136476,168,2869484,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111828.290862
34984272,10330572,24653700,0,10677860,0,1136668,64750580,163302556,12908532,262144000,6107136,138176,276,0,0,0,0,0,2048,41562420,333764,41228656,6376,41428,182948564,264108356,30376,0,41496,2733008,136476,168,2869484,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111829.302807
35137704,10470284,24667420,0,10817188,0,1136668,64750580,163302556,13048340,262144000,6107136,138176,280,0,0,0,0,0,2048,41548700,333764,41214936,6376,41428,182808696,264108356,30376,0,41764,2733008,136476,168,2869484,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111830.314763
35291372,10609884,24681488,0,10956984,0,1136668,64750600,163302556,13187932,262144000,6107136,138176,300,0,0,0,0,0,2048,41534632,333764,41200868,6376,41428,182668204,264108356,30376,0,42036,2733008,136476,168,2869484,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111831.326706
35444972,10749708,24695264,0,11097004,0,1136668,64750600,163302556,13327748,262144000,6107136,138176,304,0,0,0,0,0,2048,41520856,333764,41187092,6376,41428,182528336,264108356,30376,0,42304,2733008,136476,168,2869484,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111832.338592
35598348,10889364,24708984,0,11236220,0,1136668,64750600,163302556,13467684,262144000,6107136,138176,172,0,0,0,0,0,2048,41507136,333764,41173372,6376,41428,182388988,264108356,30376,0,42576,2733008,136476,168,2869484,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111833.350535
35751908,11028852,24723056,0,11375936,0,1136668,64750600,163302556,13607208,262144000,6107136,138176,168,0,0,0,0,0,2048,41493084,333764,41159320,6376,41428,182248872,264108356,30376,0,42844,2733008,136476,168,2869484,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111834.362455
35908264,11171488,24736776,0,11518948,0,1136668,64750600,163302556,13749652,262144000,6107136,138176,168,0,0,0,0,0,2048,41479364,333764,41145600,6376,41428,182106024,264108356,30376,0,43120,2733008,136476,168,2869484,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111835.374372
36057248,11306344,24750904,0,11653596,0,1136668,64750628,163302556,13883648,262144000,6107136,138176,216,0,0,0,0,0,2048,41465240,333764,41131476,6384,41368,181971000,264108356,30376,0,43340,2733008,136476,168,2869484,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111836.383836
36208812,11444128,24764684,0,11791372,0,1136668,64750628,163302556,14021700,262144000,6107136,138176,216,0,0,0,0,0,2048,41451460,333764,41117696,6368,41368,181833004,264108356,30376,0,43580,2733008,136476,168,2869484,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111837.396053
